#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:21.932927] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:23.933972] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:23.933995] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:23.933999] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:25.935169] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:25.935189] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:25.935193] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:27.937153] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:27.937177] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:27.937180] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:20:29.939336] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
